UYEISYERI_ID_MASK,mcc,district_id
27447336,5541,34
27447758,5541,81
27447767,5411,50
27447983,5541,2
27448075,5691,84
27448097,5499,2
27448414,5411,42
27449916,5661,84
27451100,5621,33
27451432,5992,38
27452884,5541,65
27455245,5411,121
27455791,5722,121
27455909,5541,98
27456801,5661,120
27457515,5411,63
27460503,5411,60
27460661,5411,160
27460989,5541,115
27462199,5812,60
27462956,5941,12
27463768,5411,100
27466285,5977,81
27467625,5499,2
27470944,5661,12
27470945,5661,120
27471367,5732,4
27471368,5732,4
27471370,5732,12
27471371,8062,115
27472085,5691,115
27472247,5541,115
27472871,5541,88
27474240,5541,34
27474388,5200,34
27474390,5200,82
27480835,5691,65
27481516,5541,2
27482156,5732,42
27482158,5732,50
27482276,5691,61
27482520,4722,17
27482643,5541,65
27485896,5541,50
27486963,5541,131
27488798,5541,87
27489179,5541,31
27490977,5541,60
27492378,5941,50
27492384,5941,4
27492396,5941,12
27492401,5941,81
27493291,5411,50
27493957,5411,50
27495842,5732,50
27495910,5541,38
27497097,5941,50
27497280,5691,50
27499143,5541,60
27500565,5712,50
27501177,5691,50
27501709,5411,61
27501711,5411,115
27501718,5411,70
27501720,5411,50
27501728,5411,50
27501732,5411,60
27501735,5411,121
27501739,5411,96
27501740,5411,15
27501749,5411,50
27501751,5411,160
27501752,5411,4
27501865,5541,9
27501905,5411,115
27501912,5411,4
27501917,5411,34
27501918,5411,34
27501925,5411,96
27501928,5411,9
27501934,5411,160
27501937,5411,50
27501938,5411,50
27501939,5411,50
27501940,5411,50
27501943,5411,160
27501947,5411,33
27501948,5411,115
27501952,5411,50
27501959,5411,9
27501964,5411,50
27501968,5411,61
27501974,5411,61
27501984,5411,59
27501991,5411,63
27501993,5411,81
27501994,5411,50
27501995,5411,61
27501999,5411,81
27502000,5411,50
27502003,5411,61
27502221,5411,50
27503901,5661,50
27505314,5941,65
27505371,5945,50
27505903,5541,61
27508046,5200,70
27509437,5691,50
27510633,5411,160
27510634,5411,50
27510887,5499,84
27511223,5411,141
27511224,5411,33
27511550,5499,63
27512859,5814,50
27512865,5814,2
27513543,5691,63
27516468,5499,4
27518549,5732,50
27518791,5541,96
27519085,5691,61
27520047,5411,33
27520559,5814,50
27520562,5814,50
27520570,5814,34
27521599,5411,50
27521640,5814,160
27522292,5411,84
27524605,5722,123
27524945,5732,115
27525464,5941,96
27525710,5814,50
27525711,5814,115
27525930,5411,70
27525932,5732,70
27526550,5541,15
27526837,5732,70
27526859,5411,33
27527830,5411,2
27528559,5691,115
27528594,5941,70
27531011,5691,115
27531696,5661,115
27533108,5942,50
27533111,5942,34
27533113,5942,115
27533114,5942,12
27533119,5942,60
27533124,5942,115
27533822,5411,2
27534961,5541,61
27535134,7538,42
27535651,5541,123
27537295,5691,123
27537297,5691,34
27537300,5691,17
27537302,5691,84
27537303,5691,2
27537305,5691,50
27537307,5691,115
27537308,5691,65
27537310,5691,81
27537311,5691,63
27538326,8011,100
27538546,5941,17
27539331,5621,50
27539453,5661,70
27539461,5941,88
27539494,5941,33
27543690,5691,121
27544529,5541,77
27545982,5977,50
27550105,5732,59
27550108,5732,4
27551572,5541,100
27551757,5541,61
27552034,5541,53
27552479,5541,33
27552480,5541,115
27552481,5541,17
27554085,5411,31
27555167,5691,100
27555937,5541,12
27555998,5499,63
27557769,5941,12
27557965,5977,160
27558265,5541,63
27558393,5541,121
27559355,5411,4
27560993,5691,34
27561024,5691,17
27561061,5941,88
27562066,5732,115
27562421,5411,9
27562422,5411,61
27563069,5950,115
27564848,5411,50
27565953,5941,12
27566122,5541,17
27571607,5411,115
27572003,5941,12
27572009,5541,77
27572462,5732,33
27574273,5732,160
27574725,5411,121
27578077,5411,59
27578079,5411,17
27580331,5411,2
27582953,5941,88
27583048,5045,63
27584170,5411,33
27584171,5411,115
27586172,5732,31
27587792,5691,61
27589796,5411,50
27590514,5942,61
27592471,5732,50
27592472,5732,96
27595405,5411,50
27595567,5541,61
27595931,5541,98
27596618,5411,120
27598973,5200,96
27599964,5411,33
27601753,4814,115
27603518,5732,59
27603520,5732,160
27605356,5969,50
27610626,5411,50
27613011,5541,63
27613012,5541,141
27615047,5541,121
27615793,5691,60
27615794,5691,61
27615796,5691,4
27615800,5691,33
27615802,5691,50
27615804,5691,50
27615931,5691,50
27619013,5541,12
27619690,5541,65
27620345,5691,63
27622457,5541,81
27622805,4814,77
27623697,5499,4
27623850,5411,4
27623883,5411,50
27624506,5499,160
27625611,5691,84
27628262,5977,121
27629364,5942,50
27629747,5411,160
27629749,5732,160
27630211,5941,60
27630455,5732,50
27632179,5541,87
27633494,5641,50
27634044,5499,65
27634538,5691,160
27634834,5661,160
27634880,5691,160
27635220,5541,4
27636281,5691,160
27636312,5941,160
27636990,5691,160
27637822,5541,63
27637842,5814,115
27638066,5541,84
27638392,5661,160
27639519,5411,123
27641628,5977,61
27641631,5977,12
27645337,5732,84
27646263,5691,160
27646721,5691,115
27647243,5541,60
27647936,5411,50
27649743,5541,60
27650325,5942,123
27650350,5541,96
27650616,5411,81
27650617,5411,115
27652194,5411,96
27652365,5732,81
27653324,5691,96
27653808,5411,100
27655856,5541,60
27657169,5691,115
27657307,5541,77
27657490,5945,61
27657553,4722,1
27658550,5411,63
27658696,5691,4
27660892,5045,38
27661384,5411,123
27661853,5541,34
27662322,5045,82
27662758,7399,9
27663158,5661,63
27664910,5812,115
27665015,5691,123
27666410,4511,34
27667829,5541,115
27669589,5499,9
27671279,5411,34
27671912,5541,60
27674316,5941,50
27674977,5411,160
27676228,5541,121
27676719,5814,4
27677152,5691,84
27678980,5499,4
27679204,5977,34
27679313,5541,77
27680755,5941,81
27681732,5712,115
27681956,5691,81
27682666,5200,115
27683014,5945,115
27683761,5411,4
27683865,5661,115
27684270,5941,115
27684889,4722,160
27685150,5541,96
27685381,5941,115
27685467,5411,9
27685470,5411,4
27685480,5411,17
27685492,5411,34
27685503,5411,123
27685508,5411,160
27685514,5411,115
27685516,5411,115
27685522,5411,59
27685528,5411,115
27685537,5411,12
27685695,5691,115
27685697,5691,115
27685882,5941,115
27686076,5661,115
27686258,5661,115
27686304,5691,115
27686311,5942,115
27686600,5661,115
27686909,5814,115
27687662,5661,115
27687775,5950,115
27688138,5977,115
27688726,5691,65
27690038,5691,115
27690437,5814,12
27690673,5942,77
27692198,5411,81
27692436,5732,60
27692440,5691,115
27692441,5691,160
27692479,5912,115
27692671,4812,17
27692672,4814,17
27694531,5541,121
27694686,5945,60
27695042,5411,87
27696939,5732,63
27697174,4511,65
27702198,5541,33
27703262,5941,50
27703331,5200,4
27703338,5541,61
27703348,5411,4
27703381,5541,50
27703492,5411,63
27703539,5200,42
27703557,5411,115
27703599,5411,59
27705284,5661,96
27707020,5691,50
27707124,5541,82
27707158,5661,123
27709355,5992,123
27711953,5691,61
27713103,5499,84
27713879,5541,17
27714799,5691,115
27714800,5691,50
27723228,5541,82
27723424,5541,9
27723632,8062,50
27723789,5541,50
27724640,5691,100
27724642,5691,63
27725089,8062,50
27726136,5541,34
27726204,5941,50
27726471,5691,160
27727299,5541,34
27727923,5541,96
