UYEISYERI_ID_MASK,revenue_tslope,visit_tslope,revpervisit_tslope
27447336,369.0794286,2.057142857,6.096730077
27447758,1177.368857,-5.228571429,127.2057038
27447767,33.224,0.742857143,1.930627379
27447983,658.998,8.714285714,-1.563982004
27448075,225.198,0.514285714,16.63738537
27448097,12.89285714,0.2,-0.26825293
27448414,-861.7091429,-15.31428571,0.620116912
27449916,1297.472286,5.685714286,12.88983405
27451100,129.3457143,0.342857143,23.3704898
27451432,350.2282857,0.571428571,-7.214486395
27452884,-69.03685714,-0.342857143,-0.755017476
27455245,-2.165714286,-0.371428571,-0.126411199
27455791,-28.18371429,-0.942857143,-0.552680139
27455909,-19.34142857,1.028571429,-5.059884748
27456801,358.794,1.6,14.47165323
27457515,37.14257143,1.2,0.052433593
27460503,-211.2548571,-2,-2.146311653
27460661,237.7982857,10.45714286,-1.076420025
27460989,-452.5965714,-1.485714286,-0.617273606
27462199,32.16685714,0.857142857,0.803435768
27462956,-185.1371429,-0.628571429,-9.549533038
27463768,-125.0242857,-4.2,1.012632792
27466285,-14.49457143,-1.628571429,2.751698486
27467625,9.136,0.942857143,-0.47561381
27470944,88.81285714,-0.571428571,6.777614962
27470945,-23.04514286,-1.514285714,8.536114778
27471367,676.7054286,0.114285714,20.89978301
27471368,-236.4845714,-0.857142857,5.94369094
27471370,2425.906857,1.914285714,17.95382446
27471371,1507.526571,1.885714286,13.84640773
27472085,-24.13171429,-0.2,2.599385261
27472247,-596.1642857,-3.428571429,-2.762199841
27472871,-11.57857143,-1.657142857,3.881762665
27474240,-824.5437143,-8.028571429,0.880960921
27474388,140.1208571,-0.314285714,2.800831962
27474390,-224.0171429,0.114285714,-8.843206615
27480835,429.7571429,0.657142857,16.47745389
27481516,595.4345714,1.914285714,5.592029926
27482156,1661.061143,1.914285714,21.6662519
27482158,-6481.026,0.314285714,-106.7512613
27482276,177.3954286,1.714285714,6.042836735
27482520,-5768.86,-10.08571429,-40.02468892
27482643,-673.7954286,-3.514285714,-3.167974414
27485896,-220.7334286,-1.857142857,-0.957090445
27486963,-270.1757143,-4.657142857,23.44235515
27488798,-2005.676571,-15.14285714,0.151510416
27489179,-305.1614286,-5.942857143,9.754146556
27490977,381.3702857,1.628571429,3.710401805
27492378,341.1205714,2.057142857,-1.910779696
27492384,94.35885714,0.085714286,7.810386275
27492396,-66.66228571,-1.171428571,2.274972035
27492401,-39.35514286,-0.628571429,2.129476072
27493291,36.41257143,1.085714286,-1.003633333
27493957,18891.43371,41.48571429,22.9052491
27495842,-423.8205714,2.428571429,-32.9531632
27495910,-178.4588571,0.685714286,-9.487414743
27497097,-55.06142857,-1.742857143,8.695582334
27497280,9.730571429,2.542857143,-5.323155996
27499143,-402.9368571,-2.457142857,-1.997352569
27500565,1402.717714,1.457142857,54.94812045
27501177,-25.47571429,-0.542857143,8.230140167
27501709,96.86971429,2.371428571,1.841660122
27501711,46.21714286,0.828571429,1.139510358
27501718,30.54257143,2.114285714,-1.768200848
27501720,35.65971429,0.657142857,1.928809524
27501728,12.014,-1.49E-15,0.614020898
27501732,4.021142857,0.285714286,-0.168519048
27501735,11.414,-1.285714286,2.305630396
27501739,12.786,0.8,0.274326531
27501740,6.743714286,0.342857143,-0.603271429
27501749,103.1688571,7.714285714,-1.794755952
27501751,-11.83914286,-1.028571429,0.789098282
27501752,30.672,3.571428571,-2.621690798
27501865,-48.24485714,0.428571429,-0.815689318
27501905,-4.335142857,-1.371428571,0.754437238
27501912,27.166,2.285714286,-1.120585227
27501917,-19.99514286,-0.257142857,-4.433269841
27501918,141.3782857,0.142857143,8.499678054
27501925,118.5002857,5.742857143,-1.522283162
27501928,27.50228571,-0.4,2.241520218
27501934,20.93914286,2.314285714,-1.447452329
27501937,-61.04142857,0.314285714,-4.038814412
27501938,88.21742857,4.542857143,-0.424457302
27501939,-34.67285714,-0.885714286,-0.526988846
27501940,32.79771429,0.857142857,0.377116318
27501943,-2.792285714,-0.342857143,0.187207934
27501947,34.09,1.971428571,-7.448013881
27501948,12.60257143,4.085714286,-3.470262315
27501952,89.23228571,2.6,0.929963649
27501959,66.98,1.885714286,1.945308311
27501964,18.668,-0.6,1.887891932
27501968,-2.601428571,-1.657142857,2.498117641
27501974,-67.53857143,-1.257142857,-2.871802047
27501984,38.48314286,2.257142857,-1.192312293
27501991,-27.79285714,-1.171428571,-0.354985358
27501993,-27.91114286,1.2,-4.584783505
27501994,26.42514286,2.6,-0.929297619
27501995,85.89285714,3.285714286,1.773316043
27501999,-21.90342857,-0.085714286,-1.136360065
27502000,131.912,2.342857143,1.262050883
27502003,33.82828571,1.885714286,-0.503934037
27502221,-7.457142857,-0.4,0.020852041
27503901,-71.39628571,-1.714285714,8.473962441
27505314,157.1305714,2,0.385197384
27505371,143.8708571,2.285714286,2.209674325
27505903,10.68228571,-0.514285714,3.748389747
27508046,-2070.395429,-0.8,-9.318439463
27509437,108.024,0.485714286,7.152073433
27510633,88.89857143,-0.628571429,1.594481707
27510634,39.44628571,0.428571429,0.48204708
27510887,171.7785714,0.542857143,12.77476376
27511223,20.956,1.114285714,-0.548367258
27511224,-21.22942857,-0.514285714,-1.472468821
27511550,33.41485714,0.685714286,2.060301456
27512859,-7.725714286,0.4,-1.375267857
27512865,-13.39342857,0.228571429,-1.081250877
27513543,-95.56571429,-0.8,-2.180349905
27516468,-375.4154286,-3.257142857,-10.5008326
27518549,-49388.41057,-9.971428571,-1084.068598
27518791,-375.4382857,-1.028571429,-3.855173704
27519085,172.8037143,-0.771428571,45.46086233
27520047,71.16914286,0.714285714,1.244812698
27520559,32.31428571,1.371428571,0.744156012
27520562,-50.99428571,-2.142857143,-0.262770975
27520570,-62.47,-1,-4.474378251
27521599,39.374,0.914285714,0.928566474
27521640,6.594285714,-0.057142857,0.674228819
27522292,21.092,0.257142857,1.558303608
27524605,189.76,0.171428571,83.93910312
27524945,1778.880571,1.457142857,48.02173223
27525464,-158.9937143,-1.514285714,2.821932519
27525710,11.37285714,0.4,0.193555268
27525711,15.382,0.028571429,1.023610374
27525930,9644.430571,22.25714286,16.00071978
27525932,-12087.25371,-0.028571429,-463.707321
27526550,-1798.813143,-5.514285714,-12.00828283
27526837,-1195.485429,0.257142857,-44.92694893
27526859,-4.195714286,0.4,-0.727146395
27527830,581,4.628571429,-3.871794872
27528559,-230.31,-2.228571429,4.736139935
27528594,-259.6502857,0.028571429,-14.63817563
27531011,189.1368571,0.885714286,14.47870736
27531696,99.712,-2.457142857,9.763407662
27533108,253.5574286,2.085714286,6.630825216
27533111,26.71028571,1.2,-1.167351981
27533113,114.5771429,1.571428571,2.890980464
27533114,-93.50371429,-1.971428571,-3.600249084
27533119,-111.0628571,-1.657142857,-3.125113173
27533124,30.242,0.028571429,2.632134782
27533822,62.08771429,-5.142857143,8.376204762
27534961,-5.958285714,-0.771428571,2.539500152
27535134,-529.354,-0.914285714,-11.75816837
27535651,2734.591714,-2,18.09163981
27537295,-54.65771429,-0.6,0.160846993
27537297,47.562,-2.371428571,2.746887835
27537300,78.80828571,-2.028571429,4.301389522
27537302,-206.3397143,-3.028571429,1.79979963
27537303,139.7205714,-0.885714286,6.634825851
27537305,111.4128571,0.971428571,1.246044455
27537307,210.2717143,-0.428571429,6.220187108
27537308,-151.618,-2.885714286,1.961303357
27537310,-523.322,-5.257142857,-2.433323005
27537311,388.1474286,1.028571429,5.023013989
27538326,739.8857143,2.2,10.89922027
27538546,-32.39571429,-0.028571429,-1.586507937
27539331,190.8402857,0.542857143,8.44314966
27539453,-83.018,-3.428571429,3.439647892
27539461,16.04228571,-0.771428571,8.072709524
27539494,48.16742857,0.457142857,3.553324995
27543690,-327.716,-9.914285714,2.335312171
27544529,-235.8162857,-3.4,0.498705052
27545982,12.522,0.085714286,0.837780812
27550105,1175.776286,0.4,86.73661565
27550108,325.3194286,1.628571429,-33.04791854
27551572,-1.614857143,-0.942857143,1.480182794
27551757,891.9391429,-1.342857143,12.98258785
27552034,-568.0162857,-1.971428571,-3.235540105
27552479,472.4277143,3.885714286,-0.905770315
27552480,-383.2282857,-4.2,-0.781227204
27552481,-66.44342857,0.828571429,-1.654591073
27554085,43.94685714,2.057142857,-0.334763112
27555167,217.6662857,0.514285714,7.413075794
27555937,-1878.048571,-16.85714286,-26.93336471
27555998,876.8271429,0.485714286,25.73489136
27557769,-179.6142857,-0.685714286,-10.74917517
27557965,-17.99685714,-0.371428571,2.572153061
27558265,-192.17,-0.2,-3.034946084
