description,mcc,category_name,description,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,4829,Para Transferi - __yeri,"Bu MCC, kart hamili dı_ında birine ve i_lemin yapıldı_ı yerden farklı bir lokasyona gönderilen para transferleri için kullanılır. _nternetten yapılan ve yüzyüze olmayan i_lemleri de içerir. Toplam tutara eklenecek bir i_lem ücreti varsa i_lem tamamlanmadan önce kart hamiline bildirilmelidir.Acquirer, para transferi için kartı kabul eden i_yerinin kimli_ini ve adresini açık olarak belirtmelidir.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5046,Ticari Ekipman (Ba_ka Yerde Sınıflandırılmayan),"Ba_ka MCC'ler altında sınıflandırılamayan ticari cihazların ve ekipmanın toptan satı_ distribütörleridir. Bu MCC yiyecek hizmeti ve yemek pi_irme ekipmanı, neon ı_ıkları, tartı, terazi, dolap, ticari fırın ve mikrodalga fırınlar, dükkan mü_temilatı,model mankenler ve otomatik satı_ makineleri toptancılarını kapsar.Bu toptancılar ekipman kiralayabilir veya leasing yapabilir ya da yapmayabilirler. __yeri esas olarak ekipman kiralama ve/veya leasing i_i ile u_ra_ıyorsa MCC 7394 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5169,Kimyasallar ve Benzer Ürünler (Ba_ka Yerde Sınıflandırılmayan),"Bu MCC altındayer alan i_ yerleri, di_er MCC'ler altında sınıflandırılamayan - genelde endüstride kullanılan- kimyasallar ve benzer ürünlerin toptan distribütörleridir. Bu ürünler;  endüstriyel asitler, amonyak ve alkol, a_ır ve aromatik kimyasallar, klor, sıkı_tırılmı_ ve sıvıla_tırılmı_ gazlar, deterjanlar, yakıt katkıları, reçine, tuz, neft ya_ı, izolasyon kimyasalları, pas önleyici kimyasallar, katran, kuru buz, boyar maddeler, yapı_tırıcı, jelatin ve patlayıcılardır.  Havai fi_ek satan perakende i_yerleri için MCC 5999, temizlik ve hijyen maddeleri satan i_yerleri için MCC 2842 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5199,Dayanıksız Tüketim Malları (Ba_ka Yerde Sınıflandırılmayan),"Bu MCC altında sınıflandırılan i_ yerleri  gıda ürünleri, sanat malzemeleri, kıyafet askıları, köpük kauçuk, buz, ham kauçuk, süngerler, dokuma çantalar, çuval bezi, çadır bezi ürünleri,sepetler, ayakkabı haricindeki deri ve deri ürünleri gibi ba_ka MCC'ler altında sınıflandırılamayan ürünleri satarlar.  Esas i_ olarak toptan deri ayakkabı satı_ı yapan i_yerleri için MCC 5139, sanat ve zanaatkarlara ait malzemeler için MCC 5970, hediyelik e_ya ve promosyon ürünleri için MCC 5947 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5735,Plak ve  CD Ma_azaları,"Bu MCC altında sınıflandırılan i_yerleri plak, CD, kaset, müzik ve video diskleri(DVD), bo_ kaset ve video kasetleri satar. Aynı zamanda video kaseti de kiralayabilirler. __yerinin asıl faaliyeti video kasetleri kiralamaksa  MCC 7841 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5931,Kullanılmı_ E_yalar ve _kinci El Dükkanları,"Bu MCC altında sınıflandırılan i_yerleri aksesuarlar, ayakkabı ve kıyafetler, mobilya, kitaplar,müzik aletleri, diki_ makineleri, elektrikli aletler, elektrikli ev aletleri ve di_er ev e_yaları gibi kullanılmı_ e_ya ve ikinci el mallar satarlar. Genellikle, satılık olan e_yalar ya ba_ı_lanmı_ ya da konsinye mallardır. __yerleri antika da satabilirler. __yerinin asıl faaliyeti antika satı_ı ise MCC 5932 kullanılmalıdır. Rehin dükkanları için ise MCC 5933 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5933,Rehin Dükkanları,"Bu MCC altında sınıflandırılan i_yerleri ki_isel e_yaların teminat olarak rehin bırakılması ile borç veren i_yerleridir. Bu i_yerleri yükümlülü_ün yerine getirilmemesi halinde elindeki malı halka satabilir. Genellikle, teminat olarak bırakılan mallar mücevher, saat, müzik âletleri, bisikletler, mobilya, madeni para, kamera ve foto_raf makinelerini kapsar.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5937,Antika Röprodüksiyonları,"Bu MCC altında sınıflandırılan i_yerleri kıyafet, mobilya, kilim, ya_lı boya resim ve sanat eseri, aynalar, cam e_yalar, mücevher, di_er ev e_yaları ve ki_isel e_yaların antika görünümlü röprodüksiyon ve kopyalarını satarlar. Bu i_yerleri aynı zaman da antika resim röprodüksiyonları ve restorasyon Hizmetleri sunabilirler. Asıl faaliyeti antika satı_ı olan i_yerleri için MCC 5932 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5971,Sanat Eserleri Satıcıları ve Galeriler,"Bu MCC altında sınıflandırılan i_yerleri sanat eserleri (örn. resimler, foto_raflar ve heykeller) satarlar. Satı_ do_rudan sanat eserleri satıcısı, sanatçı ve sanat galerisiyle yürütülebilir.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5972,Pul ve Madeni Para Dükkanları,"Bu MCC altında sınıflandırılan i_yerleri posta pulları, madeni paralar, madeni para koleksiyonculu_u ve yatırımı için gerekli di_er ilgili aksesuarları satarlar. Devlet tarafından i_letilen posta servislerinde kullanılmak üzere satılan posta pulları için MCC 9402 kullanılmalıdır. Aynı zamanda pul satan posta ve paketleme servisi veren i_yerleri için MCC 7199 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5973,Dini Malzemeler Dükkanları,"Bu MCC altında sınıflandırılan i_yerleri figür, kart, ibadet gereçleri, resimler, talimat ve e_itim kitapları, kayıtları ve dekorasyon e_yaları gibi dini malzemeleri satarlar.Asıl faaliyeti kitap satı_ı olan i_yerleri için  MCC 5942 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5978,"Daktilo Dükkanları-Satı_,Kiralama, Servis","Bu MCC altında sınıflandırılan i_yerleri asıl olarak, daktilo satar, kiralar ve leasing yaparlar. Bu i_yerleri aynı zamanda sınırlı sayıda ofis malzemeleri ve ekipmanı satabilirler. Asıl faaliyeti ofis gereçleri satı_ı olan i_yerleri için MCC 5943, asıl faaliyeti tamirat olan i_yerleri için MCC 7699 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5994,Gazete Bayileri,"Bu MCC altında sınıflandırılan i_yerleri gazete, dergi, mecmua ve di_er periyodik yayınları satarlar. Gazete abonelikleri için MCC 5968 kullanılmalıdır. ",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5997,Elektrikli Tıra_ Makinesi Dükkanları  - Satı_ ve Hizmet,"Bu MCC altında sınıflandırılan i_yerleri elektrikli tıra_ makineleri satarlar. Bu i_yerleri aynı zamanda tamir hizmetleri de verebilirler. Asıl faaliyeti bu makinelerin tamiri olan i_yeri için MCC 7699 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5998,Çadır ve Tente  Dükkanları,"Bu MCC altında sınıflandırılan i_yerleri ev veya i_yeri kullanımı için çadır ve güne_lik satarlar. Satılan ürünler  kamp çadırları, büyük piknik çadırları,  kılıflar ve önceden tasarlanan ya da sipari_ üzerine yapılan pencere veya kapı güne_likleri satan i_yerlerini kapsar. Bu i_yerleri aynı zamanda tamir servisi de verebilir. Asıl faaliyeti bu malzemelerin tamiri olan i_yerleri için MCC 7699 kullanılmalıdır. ",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,5999,Muhtelif  ve Spesiyalite Perakende Satı_ Dükkanları,"Bu MCC altında sınıflandırılan i_yerleri, ba_ka bir i_yeri kategori kodu ile tanımlanmamı_ nadir bulunan veya özel ürünleri satarlar. Kart, kabul eden i_yeri daha uygun MCC kodu altında sınıflandırılamıyorsa bu kod kullanılmalıdır. Bu kategoriye; harita ve atlas dükkanları, ate_li silah ve mühimmat dükkanları, sihirbazlık ürünleri satan dükkanlar, parti malzemesi dükkanları, ipekli çiçek dükkanları, havai fi_ek dükkanları, dondurmacılar, resim çerçevesi dükkanları, güne_ gözlü_ü dükkanları, güzellik malzemeleri dükkanları, _i_e su ve saf su dükkanları girer.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6010,Finans Kurulu_ları - Manuel Nakit Ödemeleri,"Bu MCC sadece, kart hamilinin küye finansal kurulu_larda yüz yüze yaptı_ı  manuel nakit avans çekme , mevduat hesabı açma ve bu hesabı fonlama, seyahat çeki ve döviz alma, havale gönderimi  , de_erli metal ve tasarruf bonosu alma i_lemleri için kullanılır. ATM'lerde yapılan para çekme i_lemleri için MCC 6011 kullanılmalıdır. Üye finansal kurulu_ dı_arısında bir lokasyondan yapılan döviz satı_ı, havale gönderimi, seyahat çeki ve nakit yerine geçen di_er i_lemler için MCC 6051 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6011,Finans Kurulu_ları - ATM Nakit Ödemeleri,"Bu MCC, üye finansal kurulu_lara ait, bu kurulu_lar tarafından kiralanmı_ ve kontrol edilen ATM'lerde yapılan nakit ödemeleri için kullanılır. Üye finansal kurulu_larda yüz yüze yapılan nakit ödemeleri için MCC 6010 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6012,Finans Kurulu_ları - Mal ve Hizmetler,"Bu MCC, üye finansal kurulu_larda yapılan mal ve hizmet satı_ları için kullanılmaktadır. Bu ürün ve hizmetler, çek ve di_er finansal ürünleri içerir. Promosyon ürünleri, kredi ücretleri ve finansal danı_manlık hizmetleri de bu MCC altında sınıflandırılmaktadır.Hisse senedi ve brokerlik hizmet ücretleri ve di_er benzeri masraflar için MCC 6211 kullanılmalıdır. Nakit ödemeler için ise yüz yüze i_lemlerde MCC 6010, ATM i_lemlerinde MCC 6011 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6050,Nakit Muadili __lemler - Üye Finansal Kurulu_u,"Seyahat çekleri, döviz, havale emri, kıymetli madenler veya tasarruf bonoların satı_ını yapan üye finans kurulu_ları bu MCC altında sınıflandırılmalıdır. Bu MCC aynı zamanda, Üye finans kurulu_unda mevcut borçların (örne_in özel logolu kart veya ta_ıt kredisi borcu gibi) ödenmesinde kart kabul edilen i_lemleri de kapsar.__leme ait tüm masraflar i_lem tamamlanmadan önce kart hamiline açıkça bildirilmelidir. Bu MCC, internet üzerinden yapılan i_lemler gibi yüz yüze olmayan i_lemlerde kullanılmalıdır.Nakit ödemelerde, yüz yüze i_lemler için MCC 6010 ve ATM'lerde gerçekle_tirilen i_lemler için MCC 6011 kullanılmalıdır. Herhangi bir üye kurulu_ta mevduat hesabı açmak / fon sa_lamak  ve yüz yüze i_lemler için MCC 6010, yüz yüze olmayan i_lemler (ATM hariç) için MCC 6529 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6051,Nakit Muadili __lemler - __yerleri,"Bu MCC, üye finansal kurulu_lar dı_ındaki lokasyonlarda yapılan  seyahat çeki ve döviz alma, havale gönderimi ,kartla mevduat hesabı açma ve bu hesabı fonlama i_lemleri için kullanılır.__yerinin mevcut bir borç  için kartla ödeme kabul etti_i durumda da bu MCC kullanılmalıdır. Bu MCC ,belirtilenlerle kısıtlı olmamak kaydıyla, kumar harcamaları(MCC 7995  kullanılmalıdır), videotext i_lemleri (MCC 5967 kullanılmalıdır) , reçeteli ilaç (MCC 5122 veya MCC 5912'den uygun olan kullanılmalıdır) veya tütünlü mamüllerin (MCC 5993 kullanılmalıdır)  satı_ında kullanılmamalıdır.__leme ba_lı olarak mü_teriden alınacak bir ücret  varsa önceden kart hamiline açıkça belirtilmelidir.Üye finansal kurulu_ta yüz yüze yapılan döviz ve havale gönderimi i_lemleri için MCC 6010 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6211,Borsa Komisyoncuları/ Aracıları,"Bu MCC altında hisse senedi, tahvil,bono,fon ve emtiaların alım / satımı ile ilgili i_yerleri tarafından tahsil edilen ücretler için kullanılır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6513,Emlakçılar  ve Yöneticiler - Kiralama,"Bu MCC altında emlakçı, komisyoncu ve yöneticiler gibi konut ve ticari mülklerin kiralanması ve yönetilmesi i_i ile i_tigal eden i_yerlerinin tahsil etti_i ücretler gösterilir. Bu ücretler yönetim ücretlerini, emlak kiralama komisyonlarını ve emlak kiralama ödemelerini kapsayabilir.",,,,,,,,,,,,,,,,,,,,,,
