merchant_id,degree,betweenness,closeness,eigenvector, mcc_diversity, geo_diversity,Shopping,TrvlDest,TrnsHub,AutoSvc,Business,CommSvc,EduInst,Entrtn,FinInst,Hospital,MajHwys,MiscCategory,Parking,ParkRec,RailRds,Restaurant,SecHwys,POI_sum,POI_diversity
27447336,1090,0.000262548,0.536605857,0.007172422,2.374991687,3.274155652,12,0,0,7,1,1,0,1,0,0,0,0,1,0,2,4,29,58,1.508317119
27447758,663,0.000146061,0.525011743,0.003460463,2.141245442,3.155100901,71,0,0,10,9,2,0,0,2,1,0,0,2,0,0,10,33,140,1.455780802
27447767,213,1.33E-05,0.505826451,0.000704176,2.05815036,1.940000157,212,1,0,0,13,12,1,24,16,3,0,0,5,2,0,77,30,396,1.515170568
27447983,1384,0.000428602,0.540890394,0.015730385,2.259291541,3.324935404,12,0,0,1,2,3,2,0,0,2,0,0,0,1,0,9,18,50,1.730516754
27448075,739,0.000209746,0.531439439,0.003163335,2.339170226,3.249663521,148,22,0,9,4,8,1,20,27,4,0,0,1,0,2,33,75,354,1.788573319
27448097,298,3.92E-05,0.51243553,0.001194666,2.18784457,2.977661797,196,0,0,1,0,3,1,0,10,3,0,0,2,1,0,18,47,282,1.037304514
27448414,2354,0.000874359,0.551770949,0.050573202,2.324355886,3.39632503,5,0,0,2,0,0,0,0,8,0,23,0,1,0,0,1,9,49,1.484465106
27449916,1959,0.001143095,0.564662794,0.014547856,2.321724337,3.394079573,26,13,0,2,0,5,5,0,1,1,0,0,1,0,0,13,45,112,1.681180311
27451100,930,0.000171244,0.532135206,0.004089591,2.360687584,2.917081479,625,8,0,1,13,23,0,44,30,20,0,0,4,2,0,138,22,930,1.212559482
27451432,58,5.12E-06,0.497884187,0.000162959,1.509125897,2.24825283,10,0,0,1,4,1,0,0,0,0,0,0,0,3,0,3,20,42,1.473923247
27452884,977,0.000249237,0.533214073,0.007591661,2.308759742,3.12911104,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,22,34,1.044098944
27454697,354,5.78E-05,0.517716535,0.001575845,2.366146475,3.100823916,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27455245,376,3.76E-05,0.514144434,0.001297703,2.358020991,2.739377076,108,0,0,1,0,1,0,2,2,0,0,0,1,1,0,17,37,170,1.075731667
27455791,435,3.63E-05,0.51438104,0.002450586,2.37748053,2.715568383,83,0,0,8,1,0,0,3,2,2,0,0,0,1,0,17,29,146,1.317278305
27455909,636,0.00013193,0.524211514,0.003451393,2.209086627,3.255069132,20,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,29,58,1.134527912
27456801,711,0.000131222,0.523352452,0.004818417,2.364016807,3.073786241,56,0,0,0,0,1,0,2,6,0,24,0,1,3,0,16,10,119,1.547922273
27457515,296,2.67E-05,0.511907488,0.001155053,2.303077458,2.23386816,49,2,0,12,3,1,0,0,4,7,24,0,0,1,0,21,31,155,1.875498533
27460503,1070,0.000266429,0.532198548,0.010302468,2.264232519,3.156463859,174,0,0,3,3,9,4,1,39,14,18,0,2,2,0,35,31,335,1.649643167
27460661,1604,0.000483424,0.544447151,0.021828755,2.426749683,3.04460341,40,2,0,7,0,3,0,0,16,2,0,1,1,2,0,12,74,160,1.566971406
