merchant_id,Shopping,TrvlDest,TrnsHub,AutoSvc,Business,CommSvc,EduInst,Entrtn,FinInst,Hospital,MajHwys,MiscCategory,Parking,ParkRec,RailRds,Restaurant,SecHwys,POI_sum,POI_diversity
27447336,12,0,0,7,1,1,0,1,0,0,0,0,1,0,2,4,29,58,1.508317119
27447758,71,0,0,10,9,2,0,0,2,1,0,0,2,0,0,10,33,140,1.4557808019999998
27447767,212,1,0,0,13,12,1,24,16,3,0,0,5,2,0,77,30,396,1.515170568
27447983,12,0,0,1,2,3,2,0,0,2,0,0,0,1,0,9,18,50,1.7305167540000002
27448075,148,22,0,9,4,8,1,20,27,4,0,0,1,0,2,33,75,354,1.7885733190000002
27448097,196,0,0,1,0,3,1,0,10,3,0,0,2,1,0,18,47,282,1.0373045140000001
27448414,5,0,0,2,0,0,0,0,8,0,23,0,1,0,0,1,9,49,1.484465106
27449916,26,13,0,2,0,5,5,0,1,1,0,0,1,0,0,13,45,112,1.6811803109999999
27451100,625,8,0,1,13,23,0,44,30,20,0,0,4,2,0,138,22,930,1.212559482
27451432,10,0,0,1,4,1,0,0,0,0,0,0,0,3,0,3,20,42,1.4739232469999999
27452884,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,22,34,1.0440989440000001
27454697,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
27455245,108,0,0,1,0,1,0,2,2,0,0,0,1,1,0,17,37,170,1.0757316670000001
27455791,83,0,0,8,1,0,0,3,2,2,0,0,0,1,0,17,29,146,1.317278305
27455909,20,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,29,58,1.134527912
27456801,56,0,0,0,0,1,0,2,6,0,24,0,1,3,0,16,10,119,1.5479222730000002
27457515,49,2,0,12,3,1,0,0,4,7,24,0,0,1,0,21,31,155,1.875498533
27460503,174,0,0,3,3,9,4,1,39,14,18,0,2,2,0,35,31,335,1.6496431669999998
27460661,40,2,0,7,0,3,0,0,16,2,0,1,1,2,0,12,74,160,1.566971406
27460989,2,2,0,1,8,2,16,0,2,0,0,0,2,0,0,2,44,81,1.483102711
27462199,7,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,42,58,0.884152217
27462954,1,0,1,1,3,0,0,0,5,0,33,2,1,0,0,3,36,86,1.426247425
27462956,185,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,4,197,0.30480530699999997
27463768,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,28,74,1.03000351
27466285,126,1,1,1,3,6,0,1,10,6,24,0,5,1,0,48,22,255,1.637987523
27467265,135,2,0,11,5,0,2,3,17,0,26,0,3,0,0,47,56,307,1.670651774
27467625,85,2,0,0,0,3,0,0,2,3,0,0,1,2,0,11,4,113,1.007937031
27470944,237,2,0,2,0,3,2,4,15,6,0,0,3,1,0,36,57,368,1.225860379
27470945,56,0,0,0,0,1,0,2,6,0,24,0,1,3,0,16,10,119,1.5479222730000002
27471367,35,0,0,10,0,0,0,0,2,2,22,0,2,0,0,8,57,138,1.54526597
27471368,35,0,0,10,0,0,0,0,2,2,22,0,2,0,0,8,57,138,1.54526597
27471370,7,0,0,16,1,8,0,0,1,0,27,1,0,0,0,1,43,105,1.5555077469999998
27471371,36,1,0,4,4,3,5,1,4,5,0,2,2,1,0,12,27,107,1.994216741
27472085,21,0,4,2,16,5,2,1,25,0,0,0,8,3,0,24,34,145,2.071670563
27472247,290,2,0,1,19,8,0,5,37,3,32,1,9,1,0,58,63,529,1.563275055
27472871,0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,1,43,117,0.8354206759999999
27474240,17,2,0,0,0,1,0,1,2,4,0,0,1,2,0,3,50,83,1.325278264
27474388,3,0,0,1,0,0,0,0,0,0,30,0,5,1,0,1,77,118,0.975328986
27474390,9,2,0,5,0,1,0,0,0,0,0,0,0,5,0,3,12,37,1.7090149030000001
27480774,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,37,0.892670623
27480835,430,1,0,1,2,6,3,3,11,7,0,1,3,1,0,47,45,561,0.943433972
27481516,121,0,0,1,0,3,1,0,4,0,0,0,1,0,0,6,16,153,0.819695133
27482156,5,0,0,2,0,0,0,0,8,0,23,0,1,0,0,1,9,49,1.484465106
