UYEISYERI_ID_MASK,mcc,district_id,degree,betweenness,closeness,eigenvector,mcc_diversity,geo_diversity
27447336,5541,34,1054,0.000159273,0.569046994,0.017719796,2.363387415,3.235916419
27447758,5541,81,647,7.42E-05,0.540186916,0.010498604,2.144111131,3.116598997
27447767,5411,50,210,2.92E-06,0.512108683,0.003751548,2.05520438,1.892634384
27447983,5541,2,1335,0.000391856,0.590840943,0.020091649,2.252412921,3.288302401
27448075,5691,84,728,8.71E-05,0.545763565,0.012298895,2.342400266,3.220195315
27448097,5499,2,288,1.54E-05,0.516994633,0.004756932,2.179166431,2.929054951
27448414,5411,42,2272,0.001605352,0.67734375,0.030795202,2.313328863,3.362283336
27449916,5661,84,1902,0.000901781,0.64041956,0.027913391,2.314514785,3.360264153
27451100,5621,33,915,8.46E-05,0.558850071,0.016287265,2.336561097,2.880984025
27451432,5992,38,58,2.06E-07,0.502608696,0.001069738,1.509125897,2.24825283
27452884,5541,65,938,0.000171759,0.560584508,0.014817874,2.290856066,3.084556911
27455245,5411,121,368,1.09E-05,0.522037572,0.006585762,2.34257384,2.693723685
27455791,5722,121,425,1.45E-05,0.525581959,0.007534144,2.372679777,2.667436402
27455909,5541,98,619,8.66E-05,0.538308705,0.010070069,2.221732084,3.217898986
27456801,5661,120,689,7.84E-05,0.542960922,0.01019677,2.345516898,3.029524078
27457515,5411,63,288,6.11E-06,0.516871349,0.004935427,2.316519409,2.168217804
27460503,5411,60,1032,0.000227811,0.567408377,0.014792391,2.258741595,3.11362575
27460661,5411,160,1539,0.000460137,0.607823892,0.023384574,2.391869492,2.996424688
27460989,5541,115,2907,0.002596581,0.752081888,0.040105187,2.365341673,3.387215941
27462199,5812,60,487,4.63E-05,0.529627367,0.006826548,2.232124288,2.749944084
27462956,5941,12,952,0.000140247,0.561528497,0.016006887,2.335604236,3.148428467
27463768,5411,100,416,2.31E-05,0.525009083,0.007071499,2.364930096,2.872751297
27466285,5977,81,1143,0.000229681,0.575773675,0.01801788,2.325311609,3.156097938
27467625,5499,2,337,8.58E-06,0.520033589,0.006557579,2.410525296,2.86637751
27470944,5661,12,1312,0.00031853,0.588994565,0.020645505,2.33631785,3.292975575
27470945,5661,120,841,0.000121028,0.553569148,0.012095793,2.322056978,2.979321637
27471367,5732,4,1261,0.000241475,0.585020243,0.019743441,2.41410363,2.82810718
27471368,5732,4,740,6.01E-05,0.546589333,0.012088799,2.429458372,2.521471383
27471370,5732,12,1485,0.000444739,0.603256332,0.023146569,2.342402574,3.313041469
27471371,8062,115,1884,0.000733635,0.638721084,0.028927017,2.410296869,3.225042437
27472085,5691,115,1049,0.000123134,0.56874836,0.01863539,2.465757228,2.977650671
